# Rubi harness ratchet: `cargo run --release -- --check` fails if a file's
# verified + real_verified count drops below min_verified or its wrong + panic
# count rises above max_wrong_panic.  Regenerate with `--update`.
path	min_verified	max_wrong_panic
2 Exponentials/2.1 u (F^(c (a+b x)))^n.mac	0	0
2 Exponentials/2.2 (c+d x)^m (F^(g (e+f x)))^n (a+b (F^(g (e+f x)))^n)^p.mac	0	0
2 Exponentials/2.3 Exponential functions.mac	69	0
3 Logarithms/3.1.2 (d x)^m (a+b log(c x^n))^p.mac	26	0
3 Logarithms/3.1.4 (f x)^m (d+e x^r)^q (a+b log(c x^n))^p.mac	0	0
3 Logarithms/3.1.5 u (a+b log(c x^n))^p.mac	0	0
3 Logarithms/3.2.1 (f+g x)^m (A+B log(e ((a+b x) over (c+d x))^n))^p.mac	0	0
3 Logarithms/3.2.2 (f+g x)^m (h+i x)^q (A+B log(e ((a+b x) over (c+d x))^n))^p.mac	0	0
3 Logarithms/3.2.3 u log(e (f (a+b x)^p (c+d x)^q)^r)^s.mac	0	0
3 Logarithms/3.3 u (a+b log(c (d+e x)^n))^p.mac	3	0
3 Logarithms/3.4 u (a+b log(c (d+e x^m)^n))^p.mac	1	0
3 Logarithms/3.5 Logarithm functions.mac	40	0
4 Trig functions/4.1 Sine/4.1.0 (a sin)^m (b trg)^n.mac	29	0
4 Trig functions/4.1 Sine/4.1.1.1 (a+b sin)^n.mac	0	0
4 Trig functions/4.1 Sine/4.1.1.2 (g cos)^p (a+b sin)^m.mac	31	0
4 Trig functions/4.1 Sine/4.1.1.3 (g tan)^p (a+b sin)^m.mac	0	0
4 Trig functions/4.1 Sine/4.1.10 (c+d x)^m (a+b sin)^n.mac	5	0
4 Trig functions/4.1 Sine/4.1.11 (e x)^m (a+b x^n)^p sin.mac	12	0
4 Trig functions/4.1 Sine/4.1.12 (e x)^m (a+b sin(c+d x^n))^p.mac	7	0
4 Trig functions/4.1 Sine/4.1.13 (d+e x)^m sin(a+b x+c x^2)^n.mac	0	0
4 Trig functions/4.1 Sine/4.1.2.1 (a+b sin)^m (c+d sin)^n.mac	6	0
4 Trig functions/4.1 Sine/4.1.2.2 (g cos)^p (a+b sin)^m (c+d sin)^n.mac	1	0
4 Trig functions/4.1 Sine/4.1.2.3 (g sin)^p (a+b sin)^m (c+d sin)^n.mac	0	0
4 Trig functions/4.1 Sine/4.1.3.1 (a+b sin)^m (c+d sin)^n (A+B sin).mac	0	0
4 Trig functions/4.1 Sine/4.1.4.1 (a+b sin)^m (A+B sin+C sin^2).mac	1	0
4 Trig functions/4.1 Sine/4.1.4.2 (a+b sin)^m (c+d sin)^n (A+B sin+C sin^2).mac	0	0
4 Trig functions/4.1 Sine/4.1.7 (d trig)^m (a+b (c sin)^n)^p.mac	10	0
4 Trig functions/4.1 Sine/4.1.8 (a+b sin)^m (c+d trig)^n.mac	0	0
4 Trig functions/4.1 Sine/4.1.9 trig^m (a+b sin^n+c sin^(2 n))^p.mac	5	0
4 Trig functions/4.2 Cosine/4.2.0 (a cos)^m (b trg)^n.mac	1	0
4 Trig functions/4.2 Cosine/4.2.1.1 (a+b cos)^n.mac	0	0
4 Trig functions/4.2 Cosine/4.2.1.2 (g sin)^p (a+b cos)^m.mac	18	0
4 Trig functions/4.2 Cosine/4.2.1.3 (g tan)^p (a+b cos)^m.mac	0	0
4 Trig functions/4.2 Cosine/4.2.10 (c+d x)^m (a+b cos)^n.mac	2	0
4 Trig functions/4.2 Cosine/4.2.12 (e x)^m (a+b cos(c+d x^n))^p.mac	9	0
4 Trig functions/4.2 Cosine/4.2.13 (d+e x)^m cos(a+b x+c x^2)^n.mac	0	0
4 Trig functions/4.2 Cosine/4.2.2.1 (a+b cos)^m (c+d cos)^n.mac	2	0
4 Trig functions/4.2 Cosine/4.2.2.2 (g sin)^p (a+b cos)^m (c+d cos)^n.mac	0	0
4 Trig functions/4.2 Cosine/4.2.2.3 (g cos)^p (a+b cos)^m (c+d cos)^n.mac	0	0
4 Trig functions/4.2 Cosine/4.2.3.1 (a+b cos)^m (c+d cos)^n (A+B cos).mac	0	0
4 Trig functions/4.2 Cosine/4.2.4.1 (a+b cos)^m (A+B cos+C cos^2).mac	0	0
4 Trig functions/4.2 Cosine/4.2.4.2 (a+b cos)^m (c+d cos)^n (A+B cos+C cos^2).mac	0	0
4 Trig functions/4.2 Cosine/4.2.7 (d trig)^m (a+b (c cos)^n)^p.mac	10	0
4 Trig functions/4.2 Cosine/4.2.8 (a+b cos)^m (c+d trig)^n.mac	0	0
4 Trig functions/4.2 Cosine/4.2.9 trig^m (a+b cos^n+c cos^(2 n))^p.mac	4	0
4 Trig functions/4.3 Tangent/4.3.0 (a trg)^m (b tan)^n.mac	4	0
4 Trig functions/4.3 Tangent/4.3.1.2 (d sec)^m (a+b tan)^n.mac	1	0
4 Trig functions/4.3 Tangent/4.3.1.3 (d sin)^m (a+b tan)^n.mac	0	0
4 Trig functions/4.3 Tangent/4.3.10 (c+d x)^m (a+b tan)^n.mac	0	0
4 Trig functions/4.3 Tangent/4.3.11 (e x)^m (a+b tan(c+d x^n))^p.mac	0	0
4 Trig functions/4.3 Tangent/4.3.2.1 (a+b tan)^m (c+d tan)^n.mac	2	0
4 Trig functions/4.3 Tangent/4.3.3.1 (a+b tan)^m (c+d tan)^n (A+B tan).mac	0	0
4 Trig functions/4.3 Tangent/4.3.4.2 (a+b tan)^m (c+d tan)^n (A+B tan+C tan^2).mac	0	0
4 Trig functions/4.3 Tangent/4.3.7 (d trig)^m (a+b (c tan)^n)^p.mac	1	0
4 Trig functions/4.3 Tangent/4.3.9 trig^m (a+b tan^n+c tan^(2 n))^p.mac	0	0
4 Trig functions/4.4 Cotangent/4.4.0 (a trg)^m (b cot)^n.mac	2	0
4 Trig functions/4.4 Cotangent/4.4.1.2 (d csc)^m (a+b cot)^n.mac	4	0
4 Trig functions/4.4 Cotangent/4.4.1.3 (d cos)^m (a+b cot)^n.mac	1	0
4 Trig functions/4.4 Cotangent/4.4.10 (c+d x)^m (a+b cot)^n.mac	0	0
4 Trig functions/4.4 Cotangent/4.4.2.1 (a+b cot)^m (c+d cot)^n.mac	0	0
4 Trig functions/4.4 Cotangent/4.4.7 (d trig)^m (a+b (c cot)^n)^p.mac	1	0
4 Trig functions/4.4 Cotangent/4.4.9 trig^m (a+b cot^n+c cot^(2 n))^p.mac	0	0
4 Trig functions/4.5 Secant/4.5.0 (a sec)^m (b trg)^n.mac	0	0
4 Trig functions/4.5 Secant/4.5.1.2 (d sec)^n (a+b sec)^m.mac	0	0
4 Trig functions/4.5 Secant/4.5.1.3 (d sin)^n (a+b sec)^m.mac	6	0
4 Trig functions/4.5 Secant/4.5.1.4 (d tan)^n (a+b sec)^m.mac	0	0
4 Trig functions/4.5 Secant/4.5.10 (c+d x)^m (a+b sec)^n.mac	0	0
4 Trig functions/4.5 Secant/4.5.11 (e x)^m (a+b sec(c+d x^n))^p.mac	0	0
4 Trig functions/4.5 Secant/4.5.2.1 (a+b sec)^m (c+d sec)^n.mac	0	0
4 Trig functions/4.5 Secant/4.5.2.3 (g sec)^p (a+b sec)^m (c+d sec)^n.mac	0	0
4 Trig functions/4.5 Secant/4.5.3.1 (a+b sec)^m (d sec)^n (A+B sec).mac	0	0
4 Trig functions/4.5 Secant/4.5.4.1 (a+b sec)^m (A+B sec+C sec^2).mac	1	0
4 Trig functions/4.5 Secant/4.5.4.2 (a+b sec)^m (d sec)^n (A+B sec+C sec^2).mac	0	0
4 Trig functions/4.5 Secant/4.5.7 (d trig)^m (a+b (c sec)^n)^p.mac	2	0
4 Trig functions/4.6 Cosecant/4.6.0 (a csc)^m (b trg)^n.mac	0	0
4 Trig functions/4.6 Cosecant/4.6.1.2 (d csc)^n (a+b csc)^m.mac	0	0
4 Trig functions/4.6 Cosecant/4.6.1.3 (d cos)^n (a+b csc)^m.mac	0	0
4 Trig functions/4.6 Cosecant/4.6.1.4 (d cot)^n (a+b csc)^m.mac	0	0
4 Trig functions/4.6 Cosecant/4.6.11 (e x)^m (a+b csc(c+d x^n))^p.mac	1	0
4 Trig functions/4.6 Cosecant/4.6.3.1 (a+b csc)^m (d csc)^n (A+B csc).mac	0	0
4 Trig functions/4.6 Cosecant/4.6.4.2 (a+b csc)^m (d csc)^n (A+B csc+C csc^2).mac	0	0
4 Trig functions/4.6 Cosecant/4.6.7 (d trig)^m (a+b (c csc)^n)^p.mac	0	0
4 Trig functions/4.7 Miscellaneous/4.7.1 (c trig)^m (d trig)^n.mac	5	0
4 Trig functions/4.7 Miscellaneous/4.7.2 trig^m (a trig+b trig)^n.mac	13	0
4 Trig functions/4.7 Miscellaneous/4.7.3 (c+d x)^m trig^n trig^p.mac	4	0
4 Trig functions/4.7 Miscellaneous/4.7.4 x^m (a+b trig^n)^p.mac	0	0
4 Trig functions/4.7 Miscellaneous/4.7.5 x^m trig(a+b log(c x^n))^p.mac	3	0
4 Trig functions/4.7 Miscellaneous/4.7.6 f^(a+b x+c x^2) trig(d+e x+f x^2)^n.mac	15	0
4 Trig functions/4.7 Miscellaneous/4.7.7 Trig functions.mac	200	0
5 Inverse trig functions/5.1 Inverse sine/5.1.2 (d x)^m (a+b arcsin(c x))^n.mac	2	0
5 Inverse trig functions/5.1 Inverse sine/5.1.4a (f x)^m (d-c^2 d x^2)^p (a+b arcsin(c x))^n.mac	8	0
5 Inverse trig functions/5.1 Inverse sine/5.1.4b (f x)^m (d+e x^2)^p (a+b arcsin(c x))^n.mac	0	0
5 Inverse trig functions/5.1 Inverse sine/5.1.5 Inverse sine functions.mac	10	0
5 Inverse trig functions/5.2 Inverse cosine/5.2.2 (d x)^m (a+b arccos(c x))^n.mac	2	0
5 Inverse trig functions/5.2 Inverse cosine/5.2.5 Inverse cosine functions.mac	8	0
5 Inverse trig functions/5.3 Inverse tangent/5.3.2 (d x)^m (a+b arctan(c x^n))^p.mac	12	0
5 Inverse trig functions/5.3 Inverse tangent/5.3.3 (d+e x)^m (a+b arctan(c x^n))^p.mac	0	0
5 Inverse trig functions/5.3 Inverse tangent/5.3.4 u (a+b arctan(c x))^p.mac	0	0
5 Inverse trig functions/5.3 Inverse tangent/5.3.5 u (a+b arctan(c+d x))^p.mac	2	0
5 Inverse trig functions/5.3 Inverse tangent/5.3.6 Exponentials of inverse tangent.mac	0	0
5 Inverse trig functions/5.3 Inverse tangent/5.3.7 Inverse tangent functions.mac	8	0
5 Inverse trig functions/5.4 Inverse cotangent/5.4.1 Inverse cotangent functions.mac	9	0
5 Inverse trig functions/5.4 Inverse cotangent/5.4.2 Exponentials of inverse cotangent.mac	0	0
5 Inverse trig functions/5.5 Inverse secant/5.5.1 u (a+b arcsec(c x))^n.mac	0	0
5 Inverse trig functions/5.5 Inverse secant/5.5.2 Inverse secant functions.mac	1	0
5 Inverse trig functions/5.6 Inverse cosecant/5.6.1 u (a+b arccsc(c x))^n.mac	0	0
5 Inverse trig functions/5.6 Inverse cosecant/5.6.2 Inverse cosecant functions.mac	1	0
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.1 (c+d x)^m (a+b sinh)^n.mac	6	0
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.3 (e x)^m (a+b sinh(c+d x^n))^p.mac	5	0
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.4 (d+e x)^m sinh(a+b x+c x^2)^n.mac	0	0
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.5 Hyperbolic sine functions.mac	22	0
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.7 hyper^m (a+b sinh^n)^p.mac	13	0
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.1 (c+d x)^m (a+b cosh)^n.mac	4	0
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.2 (e x)^m (a+b x^n)^p cosh.mac	12	0
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.3 (e x)^m (a+b cosh(c+d x^n))^p.mac	5	0
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.4 (d+e x)^m cosh(a+b x+c x^2)^n.mac	0	0
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.5 Hyperbolic cosine functions.mac	30	0
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.7 hyper^m (a+b cosh^n)^p.mac	11	0
6 Hyperbolic functions/6.3 Hyperbolic tangent/6.3.1 (c+d x)^m (a+b tanh)^n.mac	1	0
6 Hyperbolic functions/6.3 Hyperbolic tangent/6.3.2 Hyperbolic tangent functions.mac	47	0
6 Hyperbolic functions/6.3 Hyperbolic tangent/6.3.7 (d hyper)^m (a+b (c tanh)^n)^p.mac	2	0
6 Hyperbolic functions/6.4 Hyperbolic cotangent/6.4.1 (c+d x)^m (a+b coth)^n.mac	0	0
6 Hyperbolic functions/6.4 Hyperbolic cotangent/6.4.2 Hyperbolic cotangent functions.mac	30	0
6 Hyperbolic functions/6.4 Hyperbolic cotangent/6.4.7 (d hyper)^m (a+b (c coth)^n)^p.mac	2	0
6 Hyperbolic functions/6.5 Hyperbolic secant/6.5.1 (c+d x)^m (a+b sech)^n.mac	1	0
6 Hyperbolic functions/6.5 Hyperbolic secant/6.5.2 (e x)^m (a+b sech(c+d x^n))^p.mac	0	0
6 Hyperbolic functions/6.5 Hyperbolic secant/6.5.3 Hyperbolic secant functions.mac	2	0
6 Hyperbolic functions/6.5 Hyperbolic secant/6.5.7 (d hyper)^m (a+b (c sech)^n)^p.mac	4	0
6 Hyperbolic functions/6.6 Hyperbolic cosecant/6.6.1 (c+d x)^m (a+b csch)^n.mac	1	0
6 Hyperbolic functions/6.6 Hyperbolic cosecant/6.6.2 (e x)^m (a+b csch(c+d x^n))^p.mac	0	0
6 Hyperbolic functions/6.6 Hyperbolic cosecant/6.6.3 Hyperbolic cosecant functions.mac	1	0
6 Hyperbolic functions/6.6 Hyperbolic cosecant/6.6.7 (d hyper)^m (a+b (c csch)^n)^p.mac	1	0
6 Hyperbolic functions/6.7 Miscellaneous/6.7.1 Hyperbolic functions.mac	161	0
7 Inverse hyperbolic functions/7.1 Inverse hyperbolic sine/7.1.2 (d x)^m (a+b arcsinh(c x))^n.mac	1	0
7 Inverse hyperbolic functions/7.1 Inverse hyperbolic sine/7.1.4a (f x)^m (d+c^2 d x^2)^p (a+b arcsinh(c x))^n.mac	8	0
7 Inverse hyperbolic functions/7.1 Inverse hyperbolic sine/7.1.4b (f x)^m (d+e x^2)^p (a+b arcsinh(c x))^n.mac	1	0
7 Inverse hyperbolic functions/7.1 Inverse hyperbolic sine/7.1.5 Inverse hyperbolic sine functions.mac	6	0
7 Inverse hyperbolic functions/7.2 Inverse hyperbolic cosine/7.2.2 (d x)^m (a+b arccosh(c x))^n.mac	2	0
7 Inverse hyperbolic functions/7.2 Inverse hyperbolic cosine/7.2.4a (f x)^m (d-c^2 d x^2)^p (a+b arccosh(c x))^n.mac	0	0
7 Inverse hyperbolic functions/7.2 Inverse hyperbolic cosine/7.2.4b (f x)^m (d+e x^2)^p (a+b arccosh(c x))^n.mac	0	0
7 Inverse hyperbolic functions/7.2 Inverse hyperbolic cosine/7.2.5 Inverse hyperbolic cosine functions.mac	3	0
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.2 (d x)^m (a+b arctanh(c x^n))^p.mac	2	0
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.3 (d+e x)^m (a+b arctanh(c x^n))^p.mac	0	0
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.4 u (a+b arctanh(c x))^p.mac	8	0
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.5 u (a+b arctanh(c+d x))^p.mac	1	0
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.6 Exponentials of inverse hyperbolic tangent functions.mac	1	0
7 Inverse hyperbolic functions/7.3 Inverse hyperbolic tangent/7.3.7 Inverse hyperbolic tangent functions.mac	1	0
7 Inverse hyperbolic functions/7.4 Inverse hyperbolic cotangent/7.4.1 Inverse hyperbolic cotangent functions.mac	4	0
7 Inverse hyperbolic functions/7.4 Inverse hyperbolic cotangent/7.4.2 Exponentials of inverse hyperbolic cotangent functions.mac	0	0
7 Inverse hyperbolic functions/7.5 Inverse hyperbolic secant/7.5.1 u (a+b arcsech(c x))^n.mac	0	0
7 Inverse hyperbolic functions/7.5 Inverse hyperbolic secant/7.5.2 Inverse hyperbolic secant functions.mac	1	0
7 Inverse hyperbolic functions/7.6 Inverse hyperbolic cosecant/7.6.1 u (a+b arccsch(c x))^n.mac	0	0
7 Inverse hyperbolic functions/7.6 Inverse hyperbolic cosecant/7.6.2 Inverse hyperbolic cosecant functions.mac	1	0
8 Special functions/8.1 Error functions.mac	4	0
8 Special functions/8.10 Formal derivatives.mac	0	0
8 Special functions/8.2 Fresnel integral functions.mac	10	0
8 Special functions/8.3 Exponential integral functions.mac	0	0
8 Special functions/8.4 Trig integral functions.mac	0	0
8 Special functions/8.5 Hyperbolic integral functions.mac	0	0
8 Special functions/8.6 Gamma functions.mac	0	0
8 Special functions/8.7 Zeta function.mac	0	0
8 Special functions/8.8 Polylogarithm function.mac	0	0
8 Special functions/8.9 Product logarithm function.mac	0	0
